"species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,NA,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,NA,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,NA,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,NA,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,NA,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,NA,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,NA,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
3,1,47.1820441902073,14.9672514843472,216,4987,NA,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,NA,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,NA,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,NA,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,NA,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
3,1,47.1820441902073,14.9672514843472,216,4987,1,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
2,2,48.2150559231848,17.9001980077367,194,3600,1,2007
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
1,2,39.3546566188108,18.3672370672487,188,3916,2,2008
